%PumpFlow        PumpHead
2633.6  843.5
2624.1  841.88
2649.8  841.53
2665.1  840.91
2570.1  846.78
2581.7  846.7
2479.6  854.78
2537.6  849.43
2568.7  847.56
2585.7  846.98
2552.5  848.87
2545.8  849.26
2587.5  844.21
2511    852
2613    844.21
2595.7  845.76
2602.8  845.34
2615.8  843.85
2655.3  840.46
2598.6  844.41
2586.4  844.12
2487.4  851.83
2528.3  851
2612.7  843.18
2623.8  843.48
2345    862.59
2619.1  844.8
2572.9  847.27
2495.7  852.3
2662.2  838.56
2613.2  843.67
2576.9  846.22
2596.2  846.08
2520.5  852.01
2577.4  846.13
2548.9  851.24
2559.3  846.57
2612.5  843.64
2595.3  843.99
2528.3  853.6
2438.3  855.53
2563.7  846.93
2585.9  845.36
2594.8  846.12
2618.6  844.32
2706.2  838.18
2543.3  849.91
2529.5  851.57
2598.4  844.72
2601.1  844.54
2569.8  845.93
2619.1  844.16
2407.1  860.4
2440.5  855.88
2599    845.56
2618    843.87
2646    839.61
2586.8  846.49
2472.1  855.56
2651.7  839.19
2552.6  849.4
2672.3  838.55
2548.6  848.4
2643.9  842.4
2602.6  844.6
2569.3  846.63
2566.8  846.85
2478.9  856.95
2584.1  845.11
2610.8  846.93
2575.2  847.71
2562.6  847.23
2563.7  848.8
2629.6  843.56
2594.8  844.63
2438.2  858.13
2520.4  851.48
2641    842.18
2592.9  845.97
2525.2  850.51
2654.1  838.88
2625    843.48
2387.9  861.03
2659.5  839.31
2511.8  852.09
2543    849.35
2546.6  848.74
2630.4  843.74
2574.3  847.33
2536.6  850.56
2552.4  849.34
2628.4  844.44
2508.2  852.74
2559.8  849.86
2530.8  852.52
2594.8  845.6
2604.9  846.33
2623.4  843.87
2630    842.92
2609.3  843.48
2499.7  854.86
2500.9  853.76
2463.6  856.01
2577.6  848.24
2470.2  855.88
2578.2  846.16
2617.8  844.32
2549.6  849.59
2568.8  848.21
2522.9  851.72
2761.9  830.34
2592.3  846.94
2604.1  846.06
2638.2  840.62
2533.8  850.66
2570.3  848.35
2552.3  850.71
2669    840.09
2574.8  845.16
2500    854.03
2569.9  847.99
2750.2  833.32
2804.2  826.83
2787.2  828.15
2922.1  813.84
2606.2  844.04
2428.8  856.84
2580.5  845.43
2707.3  835.19
2715.7  835.1
2782.7  828.33
2568.8  848.43
2476.4  855.83
2434.5  857.03
2670.5  837.95
2659    839.23
2526.2  850.95
2635.2  843.64
2484.5  854.04
2491.1  853.17
2566.3  848.48
2653.6  839.32
2661    841.71
2663.4  840.02
2667.3  840.28
2875.7  819.44
2915    819.22
2708.8  834.78
2609.7  844.84
2802.4  824.07
2784.9  830.68
2861.1  819.64
2921.2  814.62
2722    834.02
2722.3  834.95
2791.1  827.33
2734    833.89
2715.2  834.76
2702.9  835.64
2790.6  826.44
2881.4  818.89
2950.4  813.81
2686.1  838.78
2650.8  841.03
2712.1  835.62
2889.1  818.7
2751.1  832.32
2792.6  826.06
2852.2  821.26
2830.9  827.72
2757.5  830.71
2825.3  825.47
2802.4  825.73
2860.2  821.45
2854.1  823.08
2983.9  807.59
3038.3  801.05
2849.4  822.69
2808.1  825.55
2686.6  836.61
2657    840.02
2618.9  842.99
2641.2  842.52
2614.7  843.11
2146.3  876.05
2583.6  844.71
2583.1  846.59
2785.2  829.7
2797.6  827.22
2833.9  823.31
3072    796.52
2901.6  816.42
2502.2  854.94
2645.2  840.76
2631.1  843.07
2712.2  834.77
2585.1  847.78
2645.2  841.02
2689.1  837.5
2648    841.78
2659.5  839.8
2732.7  832.25
2713.6  836.23
2738    832.45
2551.1  849.67
2661.9  841.66
2797.4  827.57
2743.5  833.04
2353.9  863.54
2336.1  863.82
2347.4  862.97
2430.4  856.67
2359    862.69
2411.9  859.02
2241.9  870.19
2513.9  851.42
2518.6  851.75
2501.8  850.71
2578    846.71
2563.9  848.05
2560.4  847.79
2759.1  831.55
2660.3  838.73
2581.4  845.64
2706.6  834.96
2828.6  823.78
2666.2  840.75
2688.8  838.06
2711.4  836.77
2520    849.79
2548.5  849.45
2884.1  820.63
2528.2  851.36
2547.6  850.41
2443.7  855.49
2368.5  862.58
2464.3  856.9
2399.7  861.25
2360.1  862.78
2012.7  880.09
2141.5  875.38
2095.3  877.1
2379.5  863.19
2429.8  858.18
2548.9  848.27
2762.5  830.48
2556.5  848.48
2520    852.26
2536.7  850.29
2508.2  852.85
2510.8  854.81
2517.5  852.83
2547.6  850.18
2649.5  842.45
2517    853.35
2555    849.48
2618.6  842.88
2608.1  843.84
2668.9  839.79
2649.9  841.85
2662.7  839.44
2689.1  837.29
2692    837.58
2724.9  834.12
2694.4  836.36
2647.4  841.22
2657.4  838.38
2654.1  842.83
2679.4  838
2560.4  849.44
2584.6  845.3
2391.6  860.38
2390.4  861.54
2716.7  834.12
2700.8  836.4
2720    834.8
2587.5  846.51
2724.9  834.13
2770.2  829.77
2645.1  840.93
2730    833.75
2849.3  821.83
2843.1  821.09
2757.3  832.37
2825.9  825.19
2862.6  822.32
2685.1  837.72
2655.9  840.95
2694.5  835.97
2573.5  846.5
2746.2  832.03
2741.3  833.72
2707.1  835.36
2808.7  826.22
2860.5  821.97
2805.5  827.8
2741.1  833
2808.7  826.23
2785.2  828.63
2857.9  821
2697.9  835.8
2683.7  838.87
2796.5  824.69
2724.1  834.49
2820.7  826.03
2905.4  816.28
2759.3  830.19
2616.1  843.57
2687.8  838.04
2797.8  828.78
2811.8  825.97
2785.7  829.04
3010.7  806.69
3272.5  772.76
2931.1  812.97
2837.7  822.92
2801.7  828.12
2893    816.77
2930.2  814.62
2899.9  815.54
2863.9  821.7
2910.8  816.04
2899.4  816.93
2750.1  831.02
2881.3  819.15
2878.9  817.95
2937.6  813.37
2729.2  833.17
2889.7  816.6
2843.9  823.84
2905.6  817.9
2890.2  816.84
2925.1  814.89
2907.2  816.05
2867.2  818.95
2968.1  808.55
3010.9  805.78
3018.7  806.46
3009.5  804.49
2821.2  824.28
3009.5  805.65
2948.9  814.75
2905    816.62
2940    811.61
2904.5  817.21
2840.8  820.56
2741.5  833.61
2703    834.37
2863.8  820.42
2942.3  812.14
2942.7  812.56
2916.2  816.78
2857.4  823.04
2886.4  817.21
2845.8  821.42
2876.2  819.31
2896.2  816.04
2840.4  823.33
2826.1  822.59
2904.5  816.27
2954.3  811.72
2910.1  814.42
2977.3  809.07
2924.8  814.7
2892.2  817.03
2921.2  814.04
2886.6  818.82
2914.8  814.95
2975    809.31
3138.5  789.49
3144.4  788.49
3208.6  779.91
3206.6  783.25
3228.1  778.76
3240.2  777.88
3218.1  779.45
3161.2  787.92
3106.6  794.24
3176.1  785.9
3196.2  782.03
3143.8  790.4
2890.1  818.1
2918.8  814.63
2845.4  821.73
2984.3  808.59
2776.5  829.37
2983.3  807.16
2835.5  824.24
2952.5  812.27
2912.1  814.6
3010.3  806.22
2928.9  813.18
2785.7  828.6
2872.9  820.5
2871.4  820
2901.4  815.64
2863.1  821.79
2899.1  817.97
2805    827.47
2855.2  820.95
2840.8  823.41
2838.4  822.88
2800.9  826.85
2805.2  826.58
2867.5  822.45
2919.3  815.41
2853.2  822.99
2915.7  816.47
2945.7  813.07
2820.7  826.23
2922.1  814.84
2763.3  835.9
2877.4  825.32
2901.8  818.83
2907.3  818.06
2802.3  832.87
2905    821.19
2773.4  834.31
2834.5  830.74
2924.1  818.39
2805.9  827.19
2766.9  831.66
2861.6  831.95
2848.1  828.3
2830.6  831.13
2833.9  828.93
2827    826.69
2775.9  832.07
2697.4  844.32
2829.6  826.69
2919.3  822.6
2867.5  828.57
2940.7  820.99
2855.7  824.75
2739.6  844.47
2933.9  817.85
2852.3  830.48
2875.5  820.16
2659    837.59
2779.3  837.86
2729.3  840.21
2715.4  841.04
2739.3  844.44
2773.4  833.68
2727.5  832.63
3023.7  808.96
2773.9  835.39
2856.7  825.79
2836.2  832.71
2829.7  831.34
2842.8  820.88
2832    831.73
2889.7  825.85
2805.9  832.63
2801.4  830.72
2849.1  831.88
2858.7  828.48
2814.6  833.54
2975.6  810.29
2839.3  828.72
2686.4  836.57
2747.1  840.37
2829.7  834.84
2759.1  838.83
2832.2  838.69
2954.4  816.87
2857.2  831.52
2708.8  841.92
2805.4  837.18
2665.4  847.41
2666.4  842.11
2834.7  829.09
2759.1  836.78
2648.6  846.96
2668.7  847.28
2681    844
2698.3  838.28
2741.5  837.02
2670.9  848.35
2689.1  840.24
2733.2  837.4
2724.6  841.52
2543.7  852.49
2644.6  845.04
2650.1  840.98
2961    815.52
2986.8  813.89
2595.1  849.69
2534.1  854.52
2600.5  856.84
2547.1  855.03
2768.3  838.53
2805.9  829.6
2954.3  815.48
2706.6  839.24
2575.1  854.26
2726.1  841.63
2627.6  852.17
2760.5  837.92
2773.1  834.3
2593.2  848.96
2555    853.72
2723.6  843.5
3035.2  810.19
2597.3  852.11
2587.4  852.33
2658.4  847.58
2659.5  847.17
2779.3  830.45
2703.4  841.94
2807.4  831.73
2795.8  835.32
2746.6  836.05
2750.7  835.96
2770.1  837.53
2829.7  830.55
2743.3  834.47
2630.1  842.25
2826.1  827.91
3091.2  803.12
3061.2  808.6
2972.5  810.16
2829.6  830.6
2968.8  814.05
2875.9  824.14
2706.3  834.56
2577.9  852.62
2644    846.49
2695.4  845.04
2625    841.97
2688.4  842.03
2621.7  850.37
2632.9  845.11
2693.8  841.68
2770.4  838.32
2759.1  834.41
2843.4  828.51
2825    828.3
2856    827.48
2831.1  827.37
2742.8  848.26
2733    837.58
2874.3  821.24
2866.6  823.75
2806.4  834.5
2835.4  826.25
2820.7  833.27
2748.6  841.87
2895.8  818.32
2776.8  835.78
2833.5  828.08
2870.5  827.92
2922.7  821.67
2930.3  823.83
2920.3  824.13
2916.3  817.21
2936.2  820.6
2843.4  824.84
2800.3  829.17
2724.6  838.83
2747.9  832.75
2848    827.13
2785.4  832.26
2752.7  839.96
3042    811.37
2961    812.74
2797.5  830.7
2804.5  835.63
2811.2  832.21
2828.7  830.87
2855.7  826.4
2830.4  827.99
2757    841.21
2736.2  840.31
2849.3  827.1
2832.4  827.74
