"%""Heat"	and	Mass	Transfer	"Experiment"""						
"%""Data"	"file"""									
"%""The"	time	is	"15:10:06.59."""							
"%""The"	date	is	"8-30-2005."""							
"%""Sec."	" Volts"""	Volts	Volts	Deg C	Deg C	Deg C	Deg C	kg/h	kg/h	kg/h
"%""Time"	 Cold	 Hot	" Total"""	T1   	T2   	T4   	T5   	Cold	Hot	Total
392	2.79	3.02	2.83	18.17	46.87	39.08	33.45	298.6280675		
394	2.85	3.05	2.73	18.55	46.69	40.16	33.09	301.8086079		
396	2.82	3.02	2.91	18.36	46.69	38.71	33.27	300.2225672		
398	2.83	3.07	2.99	18.36	46.69	39.26	32.91	300.7521807		
400	2.83	3.01	2.74	18.73	46.51	40.71	33.09	300.7521807		
402	2.8	3	2.86	18.55	46.69	39.26	33.09	299.1605157		
404	2.81	3.02	2.92	18.36	46.69	39.26	33.09	299.6920139		
406	2.8	3	2.92	18.55	46.51	40.53	32.91	299.1605157		
408	2.84	3.04	2.84	18.36	46.87	39.62	32.91	301.2808593		
410	2.83	2.84	2.91	18.36	46.69	41.61	33.09	300.7521807		
412	2.79	3.02	2.83	18.73	46.69	39.8	32.91	298.6280675		
414	2.79	2.99	2.82	17.99	46.87	40.53	33.27	298.6280675		
416	2.8	2.99	2.87	18.36	46.69	40.89	33.27	299.1605157		
418	2.77	2.95	2.98	17.8	47.06	39.44	33.09	297.5603008		
420	2.78	2.98	2.77	17.99	46.87	40.89	33.09	298.0946643		
422	2.85	2.9	2.91	18.36	46.69	40.35	32.73	301.8086079		
424	2.83	3.02	2.85	17.62	47.06	41.43	32.91	300.7521807		
426	2.84	3.07	2.88	17.8	47.06	40.35	32.91	301.2808593		
428	2.83	3.05	2.98	17.8	46.87	39.8	32.91	300.7521807		
430	2.88	2.99	2.71	17.62	47.06	41.25	32.37	303.3863227		
432	2.82	3.1	2.85	17.8	46.87	39.8	32.73	300.2225672		
434	2.84	3.09	2.98	17.99	46.87	40.35	32.18	301.2808593		
436	2.86	2.84	2.56	17.62	47.06	40.35	32.73	302.3354315		
438	2.83	3.07	2.95	18.17	46.69	39.62	32.55	300.7521807		
440	2.82	3.04	2.98	17.8	46.87	38.71	32.91	300.2225672		
442	2.85	3.03	2.83	17.8	47.06	40.53	33.09	301.8086079		
444	2.84	2.95	2.84	18.36	46.69	39.44	33.27	301.2808593		
446	2.81	3.06	2.95	17.99	46.87	39.8	33.09	299.6920139		
448	2.83	3.05	2.95	18.73	46.51	39.62	33.09	300.7521807		
450	2.8	3.06	2.93	18.36	46.87	39.98	33.45	299.1605157		
452	2.8	3	2.96	18.17	46.87	39.62	33.45	299.1605157		
454	2.81	3.05	2.95	18.73	46.69	39.8	33.45	299.6920139		
456	2.83	2.9	2.91	17.99	46.87	39.44	33.45	300.7521807		
458	2.78	2.99	2.78	18.55	46.69	39.8	34	298.0946643		
